Team Name,Player ID,Player Name,Position,Jersey
Bandari,13,James Omusinde,Goalkeeper,1
Bandari,367,Joseph Ochuka Okoth,Goalkeeper,1
Bandari,554,Abdurahman Mwinyi,Goalkeeper,34
Bandari,775,Alain Ngeleka,Goalkeeper,2
Bandari,2,Joseph Onyango,Defender,6
Bandari,4,Dennis Nyaga,Defender,22
Bandari,5,Shariff Majabe Amubwombe,Defender,5
Bandari,6,Swaleh Pamba,Defender,80
Bandari,16,Brian Odera,Defender,4
Bandari,89,Herit Mungai Atariza,Defender,3
Bandari,296,Rajab Omar,Defender,12
Bandari,485,Andrew Juma,Defender,29
Bandari,575,Hamisi Abdallah,Defender,2
Bandari,773,Omar Somobwana,Defender,0
Bandari,907,Ghalib Ali Gantar,Defender,45
Bandari,8,Alfred Emoni Tanui,Midfielder,14
Bandari,10,Geoffrey Ojung'a,Midfielder,27
Bandari,12,Ali Juma Halafu,Midfielder,17
Bandari,15,Clifford Otieno,Midfielder,18
Bandari,17,Hamisi Mwaphalu,Midfielder,44
Bandari,19,Mohammed Barisa,Midfielder,21
Bandari,20,William Gitama Mwangi,Midfielder,15
Bandari,38,Said Tsuma,Midfielder,21
Bandari,361,Erick Naaman Balecho,Midfielder,11
Bandari,512,Ericson Mulu Kivuva,Midfielder,22
Bandari,550,Alvin Ngoto,Midfielder,23
Bandari,552,William Wadri,Midfielder,24
Bandari,584,Bonface Mwangemi,Midfielder,30
Bandari,587,Mohamed Abdulrahman,Midfielder,42
Bandari,610,Erisat Kirado Orute,Midfielder,47
Bandari,616,Suleiman Kahema,Midfielder,7
Bandari,618,Yusuf Ali,Midfielder,0
Bandari,716,Mohammed Katana Nyanje,Midfielder,0
Bandari,774,Amza Moubarak Ngamchiya Ndayou,Midfielder,9
Bandari,835,Abdallah Hassan,Midfielder,7
Bandari,844,Musa Mbarak,Midfielder,68
Bandari,849,Chiba,Midfielder,0
Bandari,883,Konfor Bertrand Ngafei,Midfielder,19
Bandari,906,Shaban Mwachokozi,Midfielder,0
Bandari,908,Jaffar Kale,Midfielder,0
Bandari,927,Rodgers Baraka,Midfielder,51
Bandari,11,Mohamed Beja Nyamawi,Forward,20
Bandari,308,Darius Msagha,Forward,33
Bandari,551,Robert Onyango,Forward,28
Bandari,694,Frank Ouya,Forward,9
Bidco United,325,John Otieno,Goalkeeper,40
Bidco United,371,Issa Emuria,Goalkeeper,35
Bidco United,782,Timothy Rashid,Goalkeeper,0
Bidco United,23,David Kalama,Defender,4
