Player ID,Player Name,Position,Jersey
225,James Ssetuba,Goalkeeper,28
459,Humphrey Katasi,Goalkeeper,22
733,Samuel Ambale Kusindi,Goalkeeper,1
215,Fredrick Alushula,Defender,3
226,Samuel Semo,Defender,17
454,Vincent Mahiga,Defender,29
456,Randi Bakari,Defender,4
469,Emanuel Lwangu,Defender,2
519,Kennedy Ochieng Owino,Defender,27
737,Brian Ojok Nyongesa,Defender,36
756,Rami Lasso Coulibaly,Defender,19
121,James Kinyanjui,Midfielder,26
217,Kayci Odhiambo,Midfielder,12
219,Musa Oundo,Midfielder,6
220,Victor Otieno,Midfielder,50
221,Boniface Kweyu Munyendo,Midfielder,18
224,Ronald Sichenje,Midfielder,30
228,Brian Wanyama,Midfielder,8
230,Julius Masaba,Midfielder,77
232,Kelly Okonji Madada,Midfielder,88
233,Victor Omune,Midfielder,33
486,Tyson Otieno,Midfielder,7
518,Beja Hassan,Midfielder,10
732,Jamal Obeid Abubakar,Midfielder,0
904,Dennis Kikwae,Midfielder,0
222,Maxwell Otieno,Forward,21
581,Christopher Koloti,Forward,39
719,Elias Mugane Muriuki,Forward,16
757,Samuel Ssenyonjo,Forward,14
810,Andrew Waswa Waliaulah,Forward,3
