Player ID,Player Name,Position,Jersey
155,Delton Oyo,Goalkeeper,0
302,Maxwell Mulili,Goalkeeper,77
704,Bob Cetric,Goalkeeper,40
61,Sven Yidah,Defender,18
142,Francis Omondi Atieno,Defender,24
152,Brian Buletti,Defender,26
648,Chris Wilunda,Defender,20
651,George Odhiambo,Defender,18
703,Kevin Shakava,Defender,0
711,Brian Ngala,Defender,0
712,Duke Muhoro,Defender,8
778,Joseph Masibo,Defender,27
780,Edward Masembe,Defender,22
842,Dominic Kipkirui,Defender,3
846,Kevin Lusweti,Defender,28
876,Hillary Wandera,Defender,23
879,Clifford Odhiambo Abudho,Defender,35
106,Sydney Ochieng Wahongo,Midfielder,21
124,Philemon Nyakwaka,Midfielder,38
148,Hillary Juma Otieno,Midfielder,19
319,Frank Mandela,Midfielder,32
334,Rodgers Kipkemoi,Midfielder,21
514,Daniel Odhiambo,Midfielder,2
529,Curtis Amos Wekesa,Midfielder,10
679,John Mabia,Midfielder,0
682,Maxwel Kubasu,Midfielder,25
693,Bernard Ouma,Midfielder,10
706,Phillip Wasai,Midfielder,7
707,Festus Kipkemoi,Midfielder,29
709,Lawrence Kibet,Midfielder,11
710,Evans Kipkemoi,Midfielder,6
777,Antony Naibei,Midfielder,5
779,James Khalela,Midfielder,14
789,Dickson Mwangi Wambugu,Midfielder,0
838,Duncan Mogasa,Midfielder,19
841,Cosmas Abuta,Midfielder,16
845,Roy Keke,Midfielder,0
857,Kepha Aswani Wanjala,Midfielder,28
903,Ayub Waihenya,Midfielder,0
905,Denzel Omollo,Midfielder,0
65,Hansel Ochieng,Forward,17
705,Evans Mwirigi,Forward,9
