Player ID,Player Name,Position,Jersey
325,John Otieno,Goalkeeper,40
371,Issa Emuria,Goalkeeper,35
782,Timothy Rashid,Goalkeeper,0
23,David Kalama,Defender,4
24,Brian Okeyo,Defender,23
26,Thomas Wainaina,Defender,3
35,Francis Kamau,Defender,12
465,Marvin Amuka,Defender,15
510,Stephen Okola,Defender,2
699,David Wafula,Defender,30
738,Meshack Odhiambo Nyabinge,Defender,24
814,Kennedy Ongalo,Defender,20
27,Michael Omondi Bodo,Midfielder,14
28,Dennis Murunga,Midfielder,19
30,Idris Amadi,Midfielder,17
32,Simon Munala Abuko,Midfielder,7
42,Ben Muna,Midfielder,33
44,Brian Oddoh,Midfielder,38
242,Christopher Raila,Midfielder,26
351,David Odoyo,Midfielder,4
408,Clinton Asiago,Midfielder,22
438,Lawrence Luvanda,Midfielder,31
639,Newton Ochieng,Midfielder,15
697,Amos Ochieng Okoth,Midfielder,16
739,Collins Okello Akite,Midfielder,13
767,Kassim Mwando Mwando,Midfielder,6
888,Emanuel Nyabuti,Midfielder,10
41,Victor Kunyili,Forward,28
508,Samuel Onyango,Forward,9
700,Herman Ngala,Forward,25
724,Eric Kahonge,Forward,11
