Player ID,Player Name,Position,Jersey
1,Byrne Omondi,Goalkeeper,23
100,Kevin Omondi,Goalkeeper,35
542,Mathews Gad Otieno,Goalkeeper,16
92,Sylvester Owino,Defender,15
102,Geoffrey Ochieng,Defender,2
108,Ernest Wendo,Defender,20
109,Paul Ochuoga,Defender,37
112,Philemon Otieno,Defender,26
216,Lewis Bandi,Defender,25
436,Mike Kibwage,Defender,4
504,Joseph Levin Odhiambo,Defender,33
880,Frank Odhiambo,Defender,5
910,Isaac Deng,Defender,0
7,Fidel Origa,Midfielder,12
14,Jackson Dwang,Midfielder,10
91,Chris Akena,Midfielder,17
94,Kevin Juma,Midfielder,3
97,Bryson Wangai,Midfielder,25
98,Juma Lawrence,Midfielder,24
107,Alpha Chris Onyango,Midfielder,8
110,Enock Morrison,Midfielder,6
451,Ben Stanley Omondi,Midfielder,38
506,Shariff Musa,Midfielder,7
507,Samuel Kapen,Midfielder,22
544,Mark Shaban,Midfielder,28
545,Patrick Essombe,Midfielder,21
547,Bryton Onyona,Midfielder,36
728,George Amonoo,Midfielder,9
871,Ebenezer Assifuah,Midfielder,30
909,David Odhiambo Owiti,Midfielder,0
96,Christopher Ochieng,Forward,40
530,Felix Oluoch Mboya,Forward,14
725,Mohamed Shaban Jagason,Forward,0
727,Ebenezer Adu-kwaw,Forward,11
