Player ID,Player Name,Position,Jersey
46,Elvis Ochoro Ochieng,Goalkeeper,39
126,Bonphas Munyasa,Goalkeeper,22
819,Arnold Matumele Monzobo,Goalkeeper,1
3,Siraj Mohammed,Defender,24
60,Rowland Makati,Defender,27
116,Nashon Wekesa,Defender,25
119,Nashon Alembi Nanyendo,Defender,5
128,Kevin Okumu,Defender,27
129,Raydone Munane,Defender,2
136,Lameck Oloo,Defender,21
227,Gedeon Were,Defender,16
326,Victor Okello Odhiambo,Defender,3
374,Amatton Samunya,Defender,23
495,Elvis Noor,Defender,16
771,Clyde Senaji,Defender,4
811,Fadhili Masoud,Defender,21
813,Josphat Andafu Makhwana,Defender,26
881,Memphrey Wandera,Defender,13
104,Boniface Omondi,Midfielder,7
122,Farraj Ominde,Midfielder,4
123,Francis Kahiro,Midfielder,32
130,Matthias Isogoli,Midfielder,19
131,December Kisakah,Midfielder,14
135,Danson Namasaka,Midfielder,17
170,Fortune Omoto,Midfielder,8
421,Dennis Maruti Kweyu,Midfielder,6
488,Humphrey Mieno,Midfielder,28
574,David Sakwa,Midfielder,19
715,Richard Omondi,Midfielder,18
812,Tedja Ceface Wanumbi,Midfielder,0
818,Apollo Otieno,Midfielder,15
889,Omar Chirchir,Midfielder,0
891,Samuel Feargod Temidayo Akinbinu,Midfielder,31
56,Kelvin Etemesi,Forward,20
132,Vincent Ondabu,Forward,10
133,Patrick Otieno,Forward,7
210,Francis Kahata,Forward,25
406,Shadrack Simiyu,Forward,0
426,Mathew Rodgers Angal,Forward,30
638,Didmus Ongocho,Forward,22
820,Yafessi Mubiru,Forward,9
