Player ID,Player Name,Position,Jersey
139,Patrick Matasi,Goalkeeper,38
150,Simon Masaka,Goalkeeper,39
174,Brian Odhiambo,Goalkeeper,1
567,Ibrahim Wanzala,Goalkeeper,34
850,Daniel Ambuche,Goalkeeper,20
140,John Omondi Buba,Defender,20
141,Boniface Onyango,Defender,13
143,Potiphar Odhiambo,Defender,17
450,Junior Masinza,Defender,0
662,Brian Wekesa,Defender,6
816,Denis Buketi,Defender,0
95,Rodgers Ouma,Midfielder,23
134,Derrick Otanga,Midfielder,13
138,Joshua Nyatini,Midfielder,12
144,Glen Otunga Masava,Midfielder,7
145,Eston Omengo Esiye,Midfielder,21
147,Moses Mudavadi,Midfielder,10
154,Salim Murunga,Midfielder,8
158,Oliver Majak Machaka,Midfielder,40
160,Peter Thiong'o,Midfielder,16
243,Samwel Odaro Otieno,Midfielder,16
457,Ben Saul,Midfielder,24
601,Calvin Akala,Midfielder,26
817,Rodgers Musonye,Midfielder,5
890,Shafik Batambuze,Midfielder,6
912,Meshack Mugalla,Midfielder,0
913,Zinedine Wesonga,Midfielder,0
914,William Witambo,Midfielder,0
156,Henry Omollo,Forward,9
453,Nicholas Kipkirui,Forward,0
731,Josphat Lopaga,Forward,14
746,Abubakar Shing'ora,Forward,0
911,Eric Okutu,Forward,0
915,Pistone Mutamba,Forward,18
916,Boniface Nyabuto,Forward,0
