Player ID,Player Name,Position,Jersey
183,Sebastian Wekesa,Goalkeeper,30
435,Wayne Orata,Goalkeeper,40
615,Kevin Wanjau,Goalkeeper,60
673,Collins Omondi Obwalo,Goalkeeper,16
164,Faiz Opande,Defender,27
165,Kevinluke Otiala,Defender,25
167,Geoffrey Omondi,Defender,3
175,Ghai Panchol,Defender,2
176,Timothy Ekhavi,Defender,14
177,Jacob Odhiambo,Defender,24
186,Franklyne Okello,Defender,35
427,Ian Taifa Karani,Defender,4
680,Costah Anjeo Nzuva,Defender,3
9,Izzadin Juma,Midfielder,10
29,Jacob Onyango,Midfielder,26
169,Keagan Ndemi,Midfielder,28
173,Steve Bwire Mbulere,Midfielder,19
181,Victor Ngume,Midfielder,7
184,Zablon Kutela,Midfielder,17
187,Razel Nicholas Onyango,Midfielder,12
188,Frankline Amollo,Midfielder,23
189,Abdiakim Sparo,Midfielder,34
213,Daniel Musamali,Midfielder,7
329,Wayne Dalvine Otieno,Midfielder,10
433,Tony Gogah,Midfielder,12
480,Humphrey Aroko Omondi,Midfielder,18
494,Evans Ochieng,Midfielder,22
583,Patillah Omotto,Midfielder,8
603,Alfred Muka,Midfielder,20
713,Wayne Mbuya,Midfielder,21
764,Eusters Chasara,Midfielder,5
821,Habib Mohammed Sarwari,Midfielder,0
823,Abdallah Swaleh,Midfielder,34
843,Yusuf Hassan,Midfielder,34
853,Armstrong Omondi Juma,Midfielder,0
858,Raphael Omondi,Midfielder,11
172,Ally Salum Omar,Forward,9
182,Pawell Shisima,Forward,22
628,Markvivan Kesa,Forward,29
882,David Majak,Forward,6
