Player ID,Player Name,Position,Jersey
190,Job Ochieng,Goalkeeper,35
201,Reuben Juma,Goalkeeper,31
589,Daniel Ochieng Ogemba,Goalkeeper,1
917,Livingstone Maneno Chacha,Goalkeeper,33
153,Enock Masinza,Defender,25
191,Daniel Sakari,Defender,24
192,Baraka Badi,Defender,22
193,Charles Ouma,Defender,12
194,David Ochieng,Defender,4
202,Rashid Toha,Defender,18
203,Kelvin Ouma,Defender,2
211,Abud Omar,Defender,3
491,Geoffrey Onyango,Defender,27
579,Emmanuel Erupe,Defender,36
855,Jacques Bowamba,Defender,16
856,Hernest Malonga Briyock,Defender,38
157,Ambrose Sifuna Mayuro,Midfielder,7
197,Marvin Nabwire,Midfielder,6
199,Brian Musa,Midfielder,8
205,Alvin Mang'eni,Midfielder,17
206,David Simiyu,Midfielder,29
207,Alfred Leku,Midfielder,14
208,Eric Zakayo,Midfielder,19
209,Clinton Kinanga,Midfielder,21
337,Edward Omondi,Midfielder,11
528,Brian Otieno,Midfielder,18
595,Brian Okoth,Midfielder,15
599,Chris Opondo,Midfielder,23
722,Musengo Tychick,Midfielder,28
762,Albert Otieno,Midfielder,20
786,Tobias Otieno,Midfielder,23
867,Awesu Ally Awesu,Midfielder,10
868,David Owino Ambulu,Midfielder,26
897,Nana Kusi Asante,Midfielder,40
922,Samuel Boamah Quansah,Midfielder,30
200,David Okoth,Forward,9
854,Yves Koutiama,Forward,14
