Player ID,Player Name,Position,Jersey
246,Felix Adoyo,Goalkeeper,30
452,Samuel Guto Mogaka,Goalkeeper,16
647,Samuel Oluoch,Goalkeeper,0
866,Kaunda Junior,Goalkeeper,28
884,Joseph Ogenda,Goalkeeper,1
137,Lameck Luhangala,Defender,34
238,Drona  Openda Langa,Defender,18
239,Joseph Okwenda,Defender,12
247,Vincent Mulama,Defender,26
248,Lameck Omondi,Defender,24
748,Robinson Musungu,Defender,5
801,Jimmy Owili,Defender,32
865,Tony Oloo,Defender,21
869,Nassor Shikokoti,Defender,13
898,Biron Billy Owuor,Defender,0
240,Harun Thomas,Midfielder,25
250,David Owino,Midfielder,28
253,Lankas Lenana,Midfielder,14
254,Brian Ochieng,Midfielder,10
256,Collin Weru,Midfielder,0
259,Felix Opiyo Casillas,Midfielder,38
411,Cliff Nyakeya,Midfielder,7
577,Cyrus Okoth,Midfielder,29
659,Alex Imbusia,Midfielder,28
802,Kevin Mwavali,Midfielder,6
804,Silas Oningo Wafula,Midfielder,8
825,Tony Omondi Opondo,Midfielder,22
864,Ibrahim Ochieng,Midfielder,29
870,Ainea Ndete,Midfielder,2
885,Mwalago Makame,Midfielder,17
893,Kelvin Longbert Raphel,Midfielder,19
894,Daniel Wafula,Midfielder,0
252,Dennis Cheruyiot,Forward,20
749,Timothy Ndayala,Forward,7
822,David Omondi,Forward,23
