Player ID,Player Name,Position,Jersey
33,Daniel Odiwuor,Goalkeeper,1
272,Robert Mboya,Goalkeeper,31
558,Kevin Ouru,Goalkeeper,16
262,Sammy Imbuye,Defender,23
264,Cetric Asango,Defender,15
265,Ronack Otieno,Defender,26
273,Fidel Otieno,Defender,2
274,Francis Kayugi,Defender,24
282,Dennis Ng'ang'a,Defender,4
315,Daglas Mokaya,Defender,17
364,Michael Oduor,Defender,29
750,Adams Nyambane,Defender,0
766,Dennis Mukoye,Defender,0
18,John Macharia,Midfielder,10
111,Musa Masika Wanyama,Midfielder,18
266,Ian Omondi,Midfielder,28
267,Brian Ochieng,Midfielder,19
268,Brian Ouru,Midfielder,13
269,Elli Asieche,Midfielder,17
271,Donald Ange,Midfielder,26
276,John Nyawir,Midfielder,7
278,Steve Kimari,Midfielder,12
281,Mohamed Kilume,Midfielder,14
283,Hillary Kiprotich,Midfielder,20
503,Bilal Atano Otieno,Midfielder,0
611,Alex Warai Ng'ang'a,Midfielder,8
695,Isaac Omweri,Midfielder,3
768,Glenn Odhiambo,Midfielder,10
886,Harrison Amalemba,Midfielder,9
887,Benson Shikutwa,Midfielder,26
280,Paul Kinyanjui,Forward,27
470,Dennis Okoth,Forward,21
549,John Mark Makwatta,Forward,30
