Player ID,Player Name,Position,Jersey
439,Wilson Mwangi Ngamau,Goalkeeper,1
791,Erick Ongiri,Goalkeeper,32
918,Theophillus Magina,Goalkeeper,0
285,Dennis Munyovi,Defender,33
288,Joseph Omulama,Defender,3
440,Robert Mudenyu Odhiambo,Defender,15
702,Davis Omiko Nyabeka,Defender,25
740,Paul Njuguna Ngugi,Defender,13
828,Thadeas Pkemoi,Defender,30
919,Robby Mangi,Defender,0
68,Geoffrey Shiveka Lemu,Midfielder,6
178,Tony Musa,Midfielder,50
179,Price Musebe,Midfielder,7
185,Francis Siololo Memusi,Midfielder,13
290,Lucas Maina,Midfielder,24
291,Nicholas Omondi,Midfielder,14
292,Joseph Irungu Waithira,Midfielder,71
297,Ally Yusuf,Midfielder,6
299,Elly Saenyi,Midfielder,11
442,Dennis Odhiambo,Midfielder,3
606,Levis Wanjala,Midfielder,14
689,Mark Mwaniki,Midfielder,3
790,Jackson Imbiakha,Midfielder,4
792,Michael Macharia Wairimu,Midfielder,8
827,Paul Osama,Midfielder,20
829,Telvin Maina,Midfielder,88
834,Michael Otieno Aloo,Midfielder,12
293,Victor Haki Akwanyi,Forward,99
294,John Kiplangat,Forward,10
301,Michael Owen Pala,Forward,5
