Player ID,Player Name,Position,Jersey
163,Bernard Jairo,Goalkeeper,16
840,Kevin Oduor,Goalkeeper,32
848,Ernest Mohammed,Goalkeeper,36
166,Steve Biko Omollo,Defender,6
287,David Papa Wafula,Defender,25
358,Yusuf Mainge,Defender,2
489,John Otieno,Defender,4
696,Kelvin Osanya Otiende,Defender,12
717,Brian Sifa,Defender,14
730,Lennox Ogutu,Defender,34
752,Prince Buregeya,Defender,18
852,Mustafa Kizza,Defender,21
51,Brian Mzee Omondi,Midfielder,25
231,Michael Ovella Ochieng,Midfielder,7
362,John Collins Njuguna,Midfielder,26
472,Enock Momanyi Machaka,Midfielder,35
527,Shami Mwinyi Kibwana,Midfielder,5
597,Benson Omalla Odhiambo,Midfielder,20
685,Roy Okal,Midfielder,23
692,Majaliwa Charo,Midfielder,11
718,Duncan Omalla Odhiambo,Midfielder,29
726,Ashraf Mahmoud Thaire,Midfielder,37
734,Lesley Otieno Owino,Midfielder,24
735,Gideon Otieno,Midfielder,40
753,Brian Magare,Midfielder,17
831,Shafic Ssebyala,Midfielder,30
859,Muhadjiri Hakizimana,Midfielder,10
872,Titus Ssematimba,Midfielder,8
873,Charles Waibi,Midfielder,3
920,Kevin Wangaya,Midfielder,27
751,Michael Karamor,Forward,22
