Player ID,Player Name,Position,Jersey
313,Fredrick Odhiambo Otinda,Goalkeeper,1
520,John Njau,Goalkeeper,13
531,Kevin Opiyo,Goalkeeper,34
598,Bixente Lizarazu Otieno,Goalkeeper,77
303,Elvis Osok Ochieng,Defender,22
522,Faustin Ojiambo,Defender,3
523,Benard Ondiek,Defender,17
524,Maurice Sunga,Defender,27
532,Dinken Mwema,Defender,41
535,Ivan Ochieng,Defender,20
559,Alvin Ochieng,Defender,31
561,Musa Mohammed,Defender,55
563,Bernard Odhiambo,Defender,35
570,Jimmy Mbugua,Defender,32
803,David Leon Kimungui,Defender,45
815,Reagan Ogolla,Defender,30
52,Kelvin Juma Simiyu,Midfielder,18
64,Maxwel Odada,Midfielder,24
323,Dimpol Omamo,Midfielder,28
402,Jackson Irungu Macharia,Midfielder,10
413,Shem Odinga,Midfielder,25
525,Vincent Wasambo,Midfielder,4
536,Oliva Maloba,Midfielder,21
537,Brian Marita,Midfielder,39
538,Eliud Lokuwam,Midfielder,11
560,Owen Mboya,Midfielder,7
585,Francis Nambute,Midfielder,22
605,Sammy Odera,Midfielder,24
625,Robert Karisa Kahindi,Midfielder,24
741,Brian Ouma,Midfielder,0
745,Trevor Omondi,Midfielder,8
464,Brian Lukaya Yakhama,Forward,9
490,Caleb Olilo,Forward,40
539,Lewis Shivachi,Forward,16
681,Veron Ombima,Forward,9
