Player ID,Player Name,Position,Jersey
314,Stephen Ochieng,Goalkeeper,30
578,Caleb Otieno,Goalkeeper,56
586,Duncan Omondi,Goalkeeper,1
765,David Obasanjo,Goalkeeper,50
48,Wycliffe Omondi,Defender,18
304,James Mazembe,Defender,21
305,Mark Okola,Defender,15
306,George Onyango Orako,Defender,6
316,Mark Oduor,Defender,80
324,Brian Marvin,Defender,40
412,Meja Atariza,Defender,2
444,Humphrey Obina,Defender,12
468,Brian Bett,Defender,27
566,Kevin Munika Musamali,Defender,13
622,Justus Munika Akweywa,Defender,19
837,Victor Omondi,Defender,40
39,John Owira,Midfielder,24
53,Gilbert Abala,Midfielder,25
168,Biron Ngolima Otieno,Midfielder,7
307,Justine Omwando,Midfielder,16
309,Keith Imbali,Midfielder,23
310,Vincent Nyabuto,Midfielder,20
317,Oscar Juma,Midfielder,14
318,Duke Nyamweya Kurio,Midfielder,28
320,Derrick Oketch,Midfielder,66
321,Austine Musa Odongo,Midfielder,24
322,Kevin Omundi,Midfielder,8
415,Samuel Maiko,Midfielder,13
755,Bronson Nsumbuga,Midfielder,70
899,Jasper Omwando,Midfielder,49
84,Mohammed Abdallah,Forward,19
125,Danson Kiprono,Forward,20
311,Brian Michira Migiro,Forward,10
312,Ezekiah Dalphine Omuri,Forward,11
422,Derrick Otieno,Forward,14
423,Erick Otieno,Forward,45
678,Instin Simiyu Wanjala,Forward,0
806,Brian Olega,Forward,22
900,Papa Diallo,Forward,90
901,Batshi Assis Mambote,Forward,9
