Player ID,Player Name,Position,Jersey
88,Brandon Nathan Obiero,Goalkeeper,29
345,Brian Opondo,Goalkeeper,20
356,Edwin Simiyu,Goalkeeper,29
924,Pavelh Ndzila,Goalkeeper,0
34,Eugine Ikutwa Shiponi,Defender,15
127,Francis Oduor,Defender,4
347,Alex Onchwari,Defender,13
348,Charles Momanyi,Defender,27
349,Collins Odhiambo,Defender,23
357,Thomas Teka,Defender,40
925,Servel Akouala,Defender,0
54,Vincent Owino,Midfielder,8
62,Dennis Oalo Ochieng,Midfielder,26
74,Cliff Omondi Oruko,Midfielder,12
350,Chrispine Erambo,Midfielder,28
352,Ian Simiyu,Midfielder,24
353,Luke Namanda,Midfielder,12
354,Dennis Wanjala,Midfielder,17
359,Denis Iguma,Midfielder,14
360,Fabian Adkiny,Midfielder,16
365,Teddy Dok,Midfielder,5
368,Boban Zirintusa,Midfielder,7
370,James Kibande,Midfielder,18
377,Yakeen Mutheli,Midfielder,20
378,Issa Rashid Lumumba,Midfielder,2
420,Stephen Etyang,Midfielder,29
591,Douglas Omanga,Midfielder,21
600,Dennis Oguta,Midfielder,19
612,Thomas Omole,Midfielder,22
614,Brian Githinji,Midfielder,34
759,Ronny Otieno,Midfielder,24
892,Ibrahim Joshua,Midfielder,2
355,David Polepole,Forward,7
366,Deogratius Ojok,Forward,24
677,Erick Kapaito,Forward,9
926,Selassie Bless Kakai,Forward,0
