Player ID,Player Name,Position,Jersey
399,Ronald Onyango,Goalkeeper,30
400,Sylvaine Ricks Omondi,Goalkeeper,23
770,Timothy Odhiambo,Goalkeeper,13
929,Justin Opande,Goalkeeper,30
80,Miguel Osotsi,Defender,22
372,Felix Otieno,Defender,5
373,Telena Ochieng,Defender,19
375,Fredrick Oduor,Defender,15
383,Ali Shaib,Defender,42
384,Bildad Abonga,Defender,33
389,Brian Birgen,Defender,35
487,Kevin Musambai,Defender,38
593,David Owino,Defender,0
672,Shannel Makwata,Defender,44
772,Bonventure Muchika,Defender,12
783,Andrew Ochieng Otunda,Defender,3
874,Fredrick Odhiambo,Defender,15
171,Leonlevitt Otieno,Midfielder,7
376,Joseph Ochieng,Midfielder,8
379,Meshack Karani,Midfielder,17
380,Staphod Odhiambo,Midfielder,24
385,Emilio Brian Okello,Midfielder,21
387,Suleiman Ngenya,Midfielder,46
388,Brian Kafero,Midfielder,22
390,Leshan Mootian,Midfielder,27
393,Joseph Omuse Baraza,Midfielder,17
394,Ibrahim Shambi,Midfielder,29
395,Edward Odhiambo,Midfielder,14
568,Stanley Waswa,Midfielder,3
784,Simon Omondi,Midfielder,44
785,Kevin Thairu,Midfielder,20
794,Peter Mwasi Mwanyika,Midfielder,11
795,Roy Onyango,Midfielder,18
796,Bill Clinton Okite,Midfielder,40
797,Walter Wafula,Midfielder,24
861,Joseph Nyale,Midfielder,28
862,Mwinyi Chibato,Midfielder,0
863,John Kago Njoroge,Midfielder,5
921,Stephen Murunga,Midfielder,6
381,Boniface Muchiri,Forward,10
769,Paul Okoth Odhiambo,Forward,49
