Player ID,Player Name,Position,Jersey
77,Robert Ouma,Goalkeeper,33
67,Kevin Owino,Defender,3
69,Leon Ombiji,Defender,4
70,Chris Owino,Defender,8
78,Broline Opiyo,Defender,30
79,Isaiah Kipkirui,Defender,18
87,Lennox Kariuki,Defender,5
71,Derrick Ikholi Ambundo,Midfielder,2
72,Alex Kipruto,Midfielder,11
81,Stewart Omondi,Midfielder,20
82,Peter Abiola,Midfielder,9
83,Peter Njaamah,Midfielder,13
86,Elisha Otieno,Midfielder,16
564,Evans Malo,Midfielder,21
75,Cyprian Mang'eni Fuchaka,Forward,12
90,Phabian Odhiambo,Forward,14
